source_file,category,category_label,type_id,type_label,type_count,wcag_criteria,wcag_level,pour_dimensions,sr_relevance,instance_index,hidden,description,label
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,14,true,ARIA 14,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,15,false,ARIA 15,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,16,false,ARIA 16,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,17,false,ARIA 17,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,18,false,ARIA 18,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,19,false,ARIA 19,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,20,false,ARIA 20,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,21,false,ARIA 21,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,22,false,ARIA 22,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,23,false,ARIA 23,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,24,false,ARIA 24,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,25,true,ARIA 25,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,26,false,ARIA 26,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,27,false,ARIA 27,ARIA
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,1,false,ARIA label 1,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,2,true,ARIA label 2,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,3,false,ARIA label 3,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,4,false,ARIA label 4,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,5,false,ARIA label 5,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,6,false,ARIA label 6,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,7,false,ARIA label 7,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,8,false,ARIA label 8,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,9,false,ARIA label 9,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,10,false,ARIA label 10,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,11,false,ARIA label 11,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,12,false,ARIA label 12,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,13,false,ARIA label 13,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,14,false,ARIA label 14,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,15,false,ARIA label 15,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,16,false,ARIA label 16,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,17,false,ARIA label 17,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,18,false,ARIA label 18,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,19,false,ARIA label 19,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,20,false,ARIA label 20,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,21,false,ARIA label 21,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,22,false,ARIA label 22,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,23,false,ARIA label 23,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,24,false,ARIA label 24,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,25,false,ARIA label 25,ARIA label
1-Ibge.html,aria,ARIA,aria_label,ARIA label,41,1.3.1;4.1.2,A,Perceivable;Robust,positive,26,false,ARIA label 26,ARIA label
